sa2_main,ERP_30_june_2017,erp_30_june_2018,erp_2017_2018_change_no,erp_2017_2018_change_percent,erp_2017_2018_change_component_natural_increase,erp_2017_2018_change_component_net_internal_migration,erp_2017_2018_change_component_net_overseas_migration,area_km2,population_density_persons_per_km2
101021007,4041,4149,108,2.7,5,93,10,3418.4,1.2
101021008,8484,8432,-52,-0.6,51,-143,40,7,1207.6
101021009,11351,11458,107,0.9,110,-146,143,4.8,2405.4
101021010,5016,5085,69,1.4,85,-87,71,13,391.1
101021011,18201,19173,972,5.3,231,673,68,3054.4,6.3
101021012,13145,13150,5,0,134,-211,82,13.7,961.3
101031013,2414,2415,1,0,-8,7,2,3989.4,0.6
101031014,6857,6872,15,0.2,9,-26,32,103.6,66.3
101031015,3342,3371,29,0.9,14,7,8,6250.9,0.5
101031016,7117,7173,56,0.8,42,-60,74,3939.5,1.8
101041017,7914,7972,58,0.7,-15,53,20,63.7,125.1
101041018,8524,8513,-11,-0.1,-53,15,27,30.6,278.2
101041019,8635,8673,38,0.4,0,23,15,183.9,47.2
101041020,8928,8922,-6,-0.1,38,-56,12,4710.2,1.9
101041021,3398,3470,72,2.1,-17,83,6,24.2,143.2
101041022,25,25,0,0,0,0,0,2782,0
101041023,3286,3264,-22,-0.7,-21,-5,4,94.8,34.4
101041024,3386,3399,13,0.4,-2,11,4,1460,2.3
101041025,10994,11176,182,1.7,-68,209,41,97.3,114.8
101041026,8119,8182,63,0.8,-14,55,22,165.4,49.5
101041027,9171,9198,27,0.3,-67,72,22,252.7,36.4
101051539,23657,23835,178,0.8,23,31,124,64.8,367.9
101051540,13010,13123,113,0.9,26,69,18,9035.1,1.5
101061541,6676,6679,3,0,3,-19,19,99.7,67
101061542,11980,12131,151,1.3,82,31,38,5680.9,2.1
101061543,10770,10820,50,0.5,61,-35,24,505.8,21.4
101061544,7356,7309,-47,-0.6,2,-65,16,5849.8,1.2
102011028,7682,7733,51,0.7,59,-56,48,6.4,1201.2
102011029,11036,11112,76,0.7,29,6,41,32.1,346.3
102011030,4893,4938,45,0.9,21,0,24,768,6.4
102011031,14351,14384,33,0.2,-195,150,78,33.8,425.6
102011032,19512,19653,141,0.7,96,-119,164,16.9,1162
102011033,6571,6583,12,0.2,85,-91,18,8.3,792.5
102011034,7486,7531,45,0.6,-24,43,26,12.1,623
102011035,6876,6904,28,0.4,56,-56,28,7.7,896.4
102011036,8179,8152,-27,-0.3,26,-78,25,16.7,487.2
102011037,6347,6308,-39,-0.6,-14,-57,32,6.8,929.4
102011038,7238,7307,69,1,55,-14,28,4.8,1532.4
102011039,14097,14281,184,1.3,82,-26,128,10.1,1412.9
102011040,24470,24672,202,0.8,-7,102,107,25.2,977.9
102011041,10246,10323,77,0.8,60,-21,38,13.7,752.3
102011042,14376,14469,93,0.6,-32,62,63,17.4,830.5
102011043,11784,11829,45,0.4,-13,17,41,8.4,1411.4
102021044,22554,22621,67,0.3,2,12,53,10.9,2083.1
102021045,11372,11415,43,0.4,115,-95,23,21,544.1
102021046,9669,9735,66,0.7,27,21,18,9.4,1040.8
102021047,15741,15762,21,0.1,83,-105,43,24.5,643.4
102021048,22683,22802,119,0.5,-29,92,56,11.2,2027
102021049,3471,3530,59,1.7,9,40,10,346.8,10.2
102021050,11043,11172,129,1.2,46,60,23,35.5,314.8
102021051,5019,5023,4,0.1,45,-65,24,114.1,44
102021052,5961,6072,111,1.9,40,57,14,9.2,661.5
102021053,15580,15735,155,1,62,32,61,13.9,1135.5
102021054,10176,10296,120,1.2,-34,136,18,10.5,978.6
102021055,5456,5465,9,0.2,4,-31,36,27.8,196.3
102021056,16451,17066,615,3.7,58,494,63,42.9,397.9
102021057,9122,9222,100,1.1,50,7,43,15,613.4
103011058,24585,24745,160,0.7,117,-80,123,119.5,207.1
103011059,11774,12056,282,2.4,70,180,32,94,128.2
103011060,7025,7047,22,0.3,23,-7,6,3798.3,1.9
103011061,4732,4720,-12,-0.3,-11,-12,11,2972.4,1.6
103021062,6709,6625,-84,-1.3,30,-118,4,15858.9,0.4
103021063,9315,9324,9,0.1,-1,-2,12,242.2,38.5
103021064,5523,5557,34,0.6,23,0,11,3037.2,1.8
103021065,10438,10469,31,0.3,30,-14,15,4598,2.3
